model_type,train_time,mse,ndcg
neurotrees,320.895433479,0.5800148916981311,0.7832802118514649
evotrees,266.820601002,0.5441527836372572,0.7982902768597454
xgboost,109.491485849,0.5434270543465896,0.798189369708474
lightgbm,231.518726264,0.5412422832743475,0.7972784261834984
catboost,186.16494759,0.553649357693393,0.7971381852693868
