model_type,train_time,mse,gini
neurotrees,35.753606704,78.36820908945974,0.6423537109323098
evotrees,35.605810819,81.05218505859375,0.6199652916359432
xgboost,23.32182286,80.91189575195312,0.6202649053647928
lightgbm,228.971887657,79.47441008288008,0.6308864944513833
catboost,67.540503844,79.81393198449749,0.6317148253846331
