model_type,train_time,mse,gini
neurotrees,345.730625243,76.7247547456727,0.6534275661982424
neurotrees-gaussian,379.076480494,76.5005769359338,0.6551787719185779
evotrees,75.402179742,80.49024963378906,0.6247991859796739
xgboost,18.919074507,80.9294662475586,0.623428451007036
lightgbm,52.866778829,79.255134531986,0.6341785748779916
catboost,62.410320972,80.07282897844371,0.6300835838591852
