model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
tabm,1,62.454827618,16,0.7930494308002141,0.7913902474481374,0.4972305691750855,0.5013906714583294
tabm,2,241.513856634,30,0.776182903806041,0.7740748533085311,0.512069262815457,0.5164161116915521
tabm,3,170.600580935,21,0.7888435371384477,0.7863193791107379,0.5015366906269193,0.505851930417513
tabm,4,81.293698113,30,0.7732156229259568,0.7710796173917688,0.513035232759542,0.5173132026615365
tabm,5,106.587931779,14,0.7926417906061096,0.7903858814626852,0.497492711253278,0.5018048081483463
tabm,6,181.868135745,30,0.7929405082451092,0.7916766990771261,0.4997740307923773,0.50300468798962
tabm,7,41.095101664,16,0.7922838819503548,0.7897225478020389,0.49850146145754665,0.503800439546443
tabm,8,214.888198628,17,0.7853003545264253,0.7833285702620107,0.50517072600198,0.5092148399328189
tabm,9,124.540788576,24,0.7794257362372986,0.7775208683858454,0.5093620321833325,0.512566564692539
tabm,10,48.724179809,11,0.8084699186265375,0.8077120768618209,0.4852922795594913,0.4890965696870382
tabm,11,37.248714038,14,0.7998941220137937,0.7981369248037135,0.49304515182758324,0.49743561398610736
tabm,12,242.461292531,22,0.7890164766289699,0.7869305507101737,0.5004059489835313,0.5049671363966879
tabm,13,76.640162176,19,0.7870547619123661,0.785107490226125,0.5010613438214124,0.5052042679770311
tabm,14,108.535476051,24,0.7827099137624604,0.780333693908012,0.5056512583613112,0.5097452249841634
tabm,15,127.242113421,19,0.7890350846190393,0.7870232282667063,0.5022380116326054,0.5066270953292143
tabm,16,36.208542926,9,0.790061017929625,0.7885703840953764,0.5005217517372612,0.5050052052277978
