variant,n_seeds,eval_mse_mean,eval_mse_std,test_mse_mean,test_mse_std,test_gini_mean,test_gini_std,best_nround_mean
none,5,0.4343786541960101,0.2890417095027582,0.5624871635613317,0.35099805905029907,0.8341506319189171,0.012582846420690153,18.6
num,5,0.29942136017342225,0.022412943618926366,0.39295526853933754,0.03936953870340447,0.8402201395490501,0.0018524482882922215,26.4
temporal,5,0.3077104318622435,0.02321419436543037,0.3734657686286647,0.03221846543241125,0.8387007734610533,0.0014353379291036166,24.4
temporal_notrend,5,0.3472533432432864,0.02714739513754571,0.4318256042726259,0.042382096473807127,0.837454399275957,0.0010987887774295791,20.0
temporal_only,5,0.34377076312615823,0.012318286930254819,0.4155042899927753,0.011526076989988332,0.827659338116262,0.0013300354519728296,11.6
