model_type,train_time,mse,ndcg
neurotrees,271.616025355,0.5740665724192819,0.7861333102485005
evotrees,607.035034302,0.5477587320382351,0.7977494136759106
xgboost,164.462601888,0.5446492233590096,0.7977702049074024
lightgbm,258.883016833,0.5397859546535243,0.7980812796089604
catboost,392.354085203,0.5559696467536898,0.7964879659162897
