model_type,train_time,mse,ndcg
neurotrees,630.565692512,0.5695428411538513,0.7862418020824754
evotrees,337.070370553,0.5516559962181581,0.7960315268181748
xgboost,115.63608568,0.5464236028736938,0.7978971850028526
lightgbm,184.764560713,0.5402470216340913,0.79860250185522
catboost,455.05542303,0.5529159081495917,0.7972564988478554
