model_type,train_time,mse,ndcg
neurotrees,638.979457864,0.5706799668679762,0.7853541995080536
evotrees,485.096369174,0.5438230401612393,0.7979845413877065
xgboost,85.544518763,0.5458930974465425,0.796994166087063
lightgbm,220.558126112,0.5407870546448299,0.7977621586450209
catboost,459.781885077,0.5537561133412997,0.7973157394015525
