model_type,hyper_id,train_time,best_nround,eval_logloss,test_logloss,eval_gini,test_gini
catboost,1,3.460524787,406,0.0021126797535974246,0.002110862535933817,0.9653474251149262,0.9698360963256502
catboost,2,0.525140014,37,NaN,NaN,0.9070132566559512,0.926612422913687
catboost,3,0.469400418,20,NaN,NaN,0.9147747858866335,0.899866969931453
catboost,4,1.869756975,282,0.0022588920504349403,0.002303797388530613,0.96879135477936,0.967218639841802
catboost,5,1.360249744,145,0.0021332068650154004,0.0022026449052247403,0.9818462957680972,0.966988533777288
catboost,6,0.402506068,31,NaN,0.0031531052875737446,0.9251759545486081,0.8986970556741
catboost,7,1.495393256,214,0.0023579972040510292,0.0023542593989669806,0.9709228523780524,0.973502786440625
catboost,8,4.402660415,243,0.0021918369412018235,0.00216488308131554,0.972234642039454,0.9686336670809201
catboost,9,0.409790591,24,NaN,NaN,0.9148326022771949,0.8983800345471743
catboost,10,1.926611143,261,0.002230243840254382,0.0022509701878517243,0.9739363711349743,0.9631723997780228
catboost,11,1.396695242,128,0.002266925817007373,0.0022416417781112997,0.9744464401805929,0.9624895850431058
catboost,12,4.128553802,281,0.0021710034320389406,0.002026706963130102,0.9673485146326861,0.9780530088087479
catboost,13,0.835894474,87,0.002733928240026788,0.0025459374826780875,0.9289096085701878,0.9672311456061778
catboost,14,0.378221467,27,NaN,NaN,0.9473883693979129,0.9377019094738982
catboost,15,0.409404039,26,0.00413392939471614,NaN,0.9004254001536631,0.8796751627703396
catboost,16,0.204364398,12,0.020854165155304746,0.020798140857580617,0.9782494738708459,0.9354996443673256
