model_type,train_time,logloss,accuracy
neurotrees,15864.645752584,0.4525596797466278,0.780876
evotrees,2708.040956203,0.4649357497692108,0.775016
xgboost,1390.671889134,0.46421727538108826,0.775786
lightgbm,993.174249133,0.46412904697418156,0.774094
catboost,8020.445910531,0.4630294210813249,0.77552
