model_type,hyper_id,train_time,best_nround,eval_logloss,test_logloss,eval_gini,test_gini
lightgbm,1,40.891630049,1044,0.49819482914783747,0.49593674117924197,0.6674320089403997,0.6710312287904108
lightgbm,2,15.869693732,378,0.5025929079741562,0.5006669163942481,0.6613011393474303,0.664386893422218
lightgbm,3,50.332530959,404,0.5033409429235952,0.5020845392468934,0.6596539611766349,0.6611810369737815
lightgbm,4,19.342961149,1119,0.5014042482471678,0.4992766604054916,0.6629683095959729,0.6663018243140244
lightgbm,5,19.013721929,391,0.5011826602402548,0.4996733071718387,0.6635036800064723,0.6659271995034939
lightgbm,6,13.840714964,604,0.5035756792691077,0.5019227153796623,0.6596978801006835,0.6623786960706903
lightgbm,7,14.378788748,1379,0.5057929207161,0.503656855993352,0.6559593273124537,0.659411644111798
lightgbm,8,92.926845338,567,0.4966552526750748,0.4950775121312142,0.6703812219689933,0.6728256101484723
lightgbm,9,14.657910968,427,0.5050676966869077,0.5028333561859354,0.6575388516528284,0.6612221834796368
lightgbm,10,24.996494481,919,0.49904720723218343,0.4973821239359275,0.6664661293981207,0.6691437118977067
lightgbm,11,26.015093123,826,0.5010459639839558,0.49922853783447974,0.6631866187895137,0.6660407472211105
lightgbm,12,109.24318842,832,0.49812691755733685,0.4957996780312921,0.6677265239941927,0.6713280038367917
lightgbm,13,10.582027293,878,0.5089181933357354,0.5070430166855776,0.6513164677415513,0.654237800721214
lightgbm,14,14.849497453,378,0.5025929079741562,0.5006669163942481,0.6613011393474303,0.664386893422218
lightgbm,15,16.844914423,900,0.5039379104699084,0.502072258578308,0.6589721983959843,0.6619088120279877
lightgbm,16,8.271104609,652,0.5083659767766151,0.5062046547584469,0.6525411258341743,0.656239148943081
