model_type,train_time,mse,ndcg
neurotrees,144.388314416,0.579510060641111,0.46404983435588654
evotrees,38.723070933,0.5538219643827923,0.5005116585267936
xgboost,16.237670218,0.5546215425389713,0.49883032211115863
lightgbm,17.823416534,0.5533811980152533,0.504142534510796
catboost,77.717999168,0.55265249562405,0.5044753387660037
