model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
xgboost,1,0.571260709,100,0.44766617478866483,0.4511017675143754,0.7383537112937621,0.7331287296891913
xgboost,2,0.848051713,163,0.43992070644433434,0.44073137072604224,0.7440711209193557,0.7400018965905342
xgboost,3,0.858505411,100,0.4470001909661837,0.44681673870320543,0.7394104559583017,0.7357624218282949
xgboost,4,0.717472316,183,0.44702094509171036,0.4472266917201466,0.7392597713714859,0.7356641126342719
xgboost,5,0.745597837,126,0.4489082068882924,0.44930668187656997,0.7386601127718794,0.7343928528781196
xgboost,6,1.000972416,171,0.44088470284100295,0.44244528129078065,0.743051785169701,0.7383667563028175
xgboost,7,1.084210156,325,0.44280908128973917,0.443057617886828,0.7419652115986086,0.7378756973145291
xgboost,8,1.187789248,133,0.4408628114162855,0.4421110466842175,0.7434332763390862,0.7390151289251977
xgboost,9,1.096779249,219,0.4386544194915352,0.4384790673351573,0.7448838700353135,0.741158506752305
xgboost,10,0.89762939,197,0.44402615270869206,0.44596669577236564,0.7414567217677231,0.7365941896199937
xgboost,11,0.958283208,176,0.4442137959893953,0.44615460133392265,0.7413629321648706,0.7366612010965441
xgboost,12,1.041385951,114,0.4443212337218291,0.445157757902715,0.7409814666614374,0.7366407011336551
xgboost,13,1.382074395,346,0.4403293875665904,0.43913300598240773,0.7430654947938681,0.7406025726334676
xgboost,14,1.309862459,240,0.4377786685636116,0.4386150326494809,0.7449301114104256,0.7406692099151548
xgboost,15,1.090633222,249,0.43973971293698316,0.4419317400675684,0.7435964576161311,0.7385496770539243
xgboost,16,1.432941863,381,0.4401804750732699,0.4396855543482761,0.7436024205025838,0.7403522094343166
