model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
tabm,1,11.108128051,14,0.4501248912188431,0.4481463987670012,0.7398080840749661,0.7371065362556686
tabm,2,35.424335744,18,0.4380810272096919,0.43780312688643913,0.746056154002074,0.7425468324643406
tabm,3,21.181484698,16,0.44556197384050955,0.44386023365111865,0.7409726064970689,0.7384279138235089
tabm,4,12.576380983,17,0.4409333578898243,0.44034298188035403,0.7434014457079793,0.7402148600106939
tabm,5,19.125967506,15,0.4419536063374815,0.44163630277423005,0.7425382888717547,0.7394284265089854
tabm,6,16.13615133,12,0.4511546507474597,0.4492404238153512,0.7380815317947444,0.7356715272643892
tabm,7,11.853870305,18,0.44422367947445857,0.442874811403517,0.7423114857652238,0.7395051090775785
tabm,8,42.536856119,18,0.4402108843830447,0.4390518517040504,0.7442009236112127,0.7414483512471315
tabm,9,18.696657517,16,0.4478976034636275,0.449562733296864,0.7424994896542855,0.7395612757841232
tabm,10,13.351812382,13,0.4525727169617796,0.45179874738025555,0.7365206714164483,0.7339564950614795
tabm,11,9.986758365,13,0.4502394994685229,0.4499322545874652,0.7380035873810079,0.7346995713932579
tabm,12,42.300136194,21,0.4416523465235696,0.4406069331085049,0.7430517321450651,0.7404277072171177
tabm,13,15.18623081,12,0.4466974736739728,0.4455401666176229,0.7410474977567517,0.7381319957490784
tabm,14,11.617218999,10,0.44704557671701,0.4456391380368396,0.7401702388877491,0.7373268679654376
tabm,15,12.455631541,9,0.44914178277273625,0.4475356152440773,0.7398554846698903,0.7369285214552045
tabm,16,11.600575907,10,0.4499335613042744,0.44883379270373447,0.7403689413066248,0.7368933830156487
