model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
evotrees,1,2.842753891,104,0.44793340154681166,0.4497949377275662,0.738620564056205,0.7339810928531841
evotrees,2,3.407004334,191,0.4413958765680609,0.44050595593066016,0.7430513199121331,0.7398689214329757
evotrees,3,6.296937167,91,0.4473475888470051,0.44771541968870004,0.739197770644455,0.7347565440193746
evotrees,4,2.502044694,210,0.4452010661254069,0.44478861422739074,0.7406381283748463,0.737083817676965
evotrees,5,3.489479916,115,0.4491618383405621,0.4489032501624695,0.7374365221497022,0.7343560226757151
evotrees,6,3.300932459,176,0.44299381847805136,0.44205579063918304,0.7421613731709045,0.7384926845599314
evotrees,7,3.022189359,379,0.4403745000402482,0.44127312807808805,0.7436543320995793,0.7393333670245053
evotrees,8,7.43631743,115,0.4420656525250195,0.44382356096443987,0.7423933248567307,0.7377323546955451
evotrees,9,3.440965704,194,0.4389988680931538,0.440006068847039,0.7446033022354309,0.7402896937841359
evotrees,10,2.106815695,141,0.4453186195767397,0.4455272873442479,0.7401208506119504,0.7365794193993218
evotrees,11,2.83987919,154,0.4456873701673214,0.4434699834230736,0.7406574807947692,0.7379190892405413
evotrees,12,5.057466381,117,0.44532070901577325,0.4464360241614704,0.7399068915754342,0.7358245311107243
evotrees,13,3.457722791,370,0.4412010723300665,0.44002264696491117,0.7426577375453514,0.7399679297249944
evotrees,14,5.032186367,265,0.4386406339829981,0.4378555412529969,0.7448135735014167,0.7413964627702189
evotrees,15,3.297135866,228,0.4375645276710534,0.4402820062669081,0.7453175709943651,0.7397662798335578
evotrees,16,4.804094058,465,0.4384334520461441,0.4394132966331792,0.7443005777055391,0.7404197365903784
