model_type,train_time,logloss,accuracy
neurotrees,14.135072765,0.42273998260498047,0.8208955223880597
evotrees,0.166648829,0.38609567284584045,0.7985074626865671
xgboost,0.062715125,0.4104591906070709,0.7761194029850746
lightgbm,0.115679762,0.3707628345521913,0.835820895522388
catboost,0.358817785,0.39331746246114824,0.8432835820895522
